Case #,Known to Police or FBI,Criminal Record,Part I Crimes,Part II Crimes,Highest Level of Justice System Involvement,History of Physical Altercations,History of Animal Abuse,History of Domestic Abuse,Domestic Abuse Specified,History of Sexual Offenses,Gang Affiliation,Terror Group Affiliation,Known Hate Group or Chat Room Affiliation,Violent Video Games,Bully,Bullied
84,0,0,0,4,1,0,0,1,3; 4,0,0,0,3,0,0,0
85,0,1,5,9,2,0,0,3,3; 4,0,0,0,0,0,0,0
86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,0,1,4,1; 5; 8,4,1,0,3,1; 3; 4,0,0,0,0,0,1,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,1,4,9,2,1,0,1,3; 4,0,0,0,0,0,0,1
92,0,1,0,1; 3; 4; 9,3,1,0,0,0,0,0,0,0,2,0,0
93,1,1,2,1; 9,4,1,0,1,2; 4,1,0,0,0,0,0,1
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
96,1,0,0,5; 9,1,0,0,0,0,0,0,0,0,0,1,0
97,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0
98,0,1,0,1; 5,4,1,0,0,0,0,0,0,0,1,0,1
99,1,1,4,7; 9,4,0,0,1,1; 3,0,0,0,0,0,0,0
100,0,0,0,6,1,0,0,2,2,1,0,0,0,0,0,0
101,0,1,6,1,4,0,0,0,0,0,0,0,0,0,0,1
102,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
103,1,1,0,1; 5; 7; 9,4,1,0,2,3,0,0,0,0,2,1,0
104,0,0,0,6,0,2,0,0,0,1,0,0,0,2,0,0
105,1,1,0,1; 9,4,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,4; 9,1,1,0,2,3; 4,0,0,0,0,1,1,1
107,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0
