CASE #,Interest in Firearms,Firearm Proficiency,Total Firearms Brought to the Scene,Other Weapons or Gear,Specify Other Weapons or Gear
184,TRUE,Very experienced,3,TRUE,"tactical gear, bulletproof vest, helmet"
185,TRUE,No experience,1,TRUE,"tactical vest that holds extra ammunition, 58 magazines, 1,657 rounds of ammunition"
186,FALSE,No experience,2,FALSE,NA
187,TRUE,No experience,1,FALSE,NA
188,,,2,TRUE,"Camo clothing, backpack, ammo, sheath and hunting knife"
189,TRUE,,2,TRUE,"military-style flak jacket, additional ammunition magazines"
190,FALSE,No experience,1,TRUE,Several additional magazines
191,TRUE,Some experience,2,TRUE,"Large capacity magazine, 42 ammo shells"
192,TRUE,Some experience,1,FALSE,NA
193,TRUE,Some experience,3,FALSE,NA
194,FALSE,No experience,1,FALSE,NA
195,TRUE,More experienced,3,TRUE,wearing body armor with several extra magazines attached to chest gear.
